article,word,picture,wclass,definition-en,definition-ru,definition-am,gender,section,section_new,portion,catalog,language,weight,description,,,need correction
,müde,,adjective,tired,утомленный,հոգնած,,A1.1-2,A1.1-2,1,Berliner Platz,German,2,,,,
,dumm,,adjective,stupid,глупый,հիմար,,A1.1-2,A1.1-2,2,Berliner Platz,German,2,,,,
,tief,,adjective,deep,глубокий,խոր,,A1.1-2,A1.1-2,3,Berliner Platz,German,2,,,,
,toll,,adjective,cool,большой,մեծ,,A1.1-2,A1.1-2,4,Berliner Platz,German,2,,,,
der,Gegenstand,no,noun,article,статья,հոդված,,A1.1-3,A1.1-3,1,Berliner Platz,German,3,,,,
der,Verkäufer,,noun,seller,продавец,վաճառող,,A1.1-3,A1.1-3,1,Berliner Platz,German,3,,,,
,Sessel,,noun,armchair,кресло,բազկաթոռ,,A1.1-3,A1.1-3,1,Berliner Platz,German,3,,,,
,Hütte,,noun,hut,хижина,խրճիթ,,A1.1-3,A1.1-3,1,Berliner Platz,German,3,,,,
,einkaufen,,verb,shop,покупка,գնումներ,,A1.1-3,A1.1-3,1,Berliner Platz,German,3,,,,
,verkaufen,,verb,sell,продавать,վաճառել,,A1.1-3,A1.1-3,1,Berliner Platz,German,3,,,,
,brennen,,verb,burn,гореть,այրվել,,A1.1-3,A1.1-3,1,Berliner Platz,German,3,,,,
,nennen,,verb,call,называть,կոչել,,A1.1-3,A1.1-3,1,Berliner Platz,German,3,,,,
,preiswert,,adjective,cheap,недорогой,էժան,,A1.1-3,A1.1-3,1,Berliner Platz,German,3,,,,
,leicht,,adjective,light,легкий,հեշտ,,A1.1-3,A1.1-3,1,Berliner Platz,German,3,,,,
,traurig,,adjective,sad,грустный,տխուր,,A1.1-3,A1.1-3,1,Berliner Platz,German,3,,,,
,wenig,,adjective,little,небольшой,քիչ,,A1.1-3,A1.1-3,1,Berliner Platz,German,3,,,,
,prima,,adjective,great,великий,մեծ,,A1.1-3,A1.1-3,1,Berliner Platz,German,3,,,,
,bereits,,other,already,уже,արդեն,,A1.1-3,A1.1-3,1,Berliner Platz,German,3,,,,
,endlich,,other,finally,в конце концов,վերջապես,,A1.1-3,A1.1-3,1,Berliner Platz,German,3,,,,
,als,,other,than,чем,քան,,A1.1-3,A1.1-3,1,Berliner Platz,German,3,,,,
,je,,other,ever,когда-либо,միշտ,,A1.1-3,A1.1-3,1,Berliner Platz,German,3,,,,
der,Unterricht,no,noun,lesson,занятие,ուսուցում,,A1.1-4,A1.1-4,1,Berliner Platz,German,4,,,,
der, Flur,,noun,hall,зал,սրահ,,A1.1-4,A1.1-4,1,Berliner Platz,German,4,,,,
die,Gardine,,noun,curtain,занавес,վարագույր,,A1.1-4,A1.1-4,1,Berliner Platz,German,4,,,,
die,Straße,,noun,street train,улица,փողոց,,A1.1-4,A1.1-4,1,Berliner Platz,German,4,,,,
,anfangen,,verb,begin,начинать,սկսել,,A1.1-4,A1.1-4,1,Berliner Platz,German,4,,,,
,aufmachen,,verb,open,открытый,բաց,,A1.1-4,A1.1-4,1,Berliner Platz,German,4,,,,
,aufstehen,,verb,stand up,вставать,վեր կենալ,,A1.1-4,A1.1-4,1,Berliner Platz,German,4,,,,
,aufwachen,,verb,wake up,будить,արթնանում,,A1.1-4,A1.1-4,1,Berliner Platz,German,4,,,,
,ausmachen,,verb,make up,сделать,անել,,A1.1-4,A1.1-4,1,Berliner Platz,German,4,,,,
,einladen,,verb,invite,приглашать,հրավիրել,,A1.1-4,A1.1-4,1,Berliner Platz,German,4,,,,
,einschlafen,,verb,fall asleep,засыпать,քնել,,A1.1-4,A1.1-4,1,Berliner Platz,German,4,,,,
,zumachen,,verb,close,закрывать,փակել,,A1.1-4,A1.1-4,1,Berliner Platz,German,4,,,,
,nach,,other,after,по,հետո,,A1.1-4,A1.1-4,1,Berliner Platz,German,4,,,,
,allein ,,other,alone,один,մենակ,,A1.1-4,A1.1-4,1,Berliner Platz,German,4,,,,
,jemand,,other,someone,кто-то,ինչ - որ մեկը,,A1.1-4,A1.1-4,1,Berliner Platz,German,4,,,,
,vor,,other,before,перед тем,մինչեւ,,A1.1-4,A1.1-4,1,Berliner Platz,German,4,,,,
,danach,,other,then,после этого,դրանից հետո,,A1.1-4,A1.1-4,1,Berliner Platz,German,4,,,,
,bauen,,verb,build,строить,կառուցել,,A1.1-5,A1.1-5,1,Berliner Platz,German,5,,,,
,öffnen,,verb,open,открыть,բացել,,A1.1-5,A1.1-5,1,Berliner Platz,German,5,,,,
,bekommen,,verb,receive/get,получить,ստանալ,,A1.1-5,A1.1-5,1,Berliner Platz,German,5,,,,
,fehlen,,verb,lack,отсутствие,պակաս,,A1.1-5,A1.1-5,1,Berliner Platz,German,5,,,,
,vergleichen,,verb,compare,сравнить,համեմատել,,A1.1-5,A1.1-5,1,Berliner Platz,German,5,,,,
,langsam,,adjective,slow,медленное,դանդաղ,,A1.1-5,A1.1-5,1,Berliner Platz,German,5,,,,
,sauer,,adjective,sour,кислый,թթու,,A1.1-5,A1.1-5,1,Berliner Platz,German,5,,,,
,dünn,,adjective,thin,тонкий,բարակ,,A1.1-5,A1.1-5,1,Berliner Platz,German,5,,,,
,fein,,adjective,fine,мелко,մանր,,A1.1-5,A1.1-5,1,Berliner Platz,German,5,,,,
der,Ausflug,no,noun,excursion,поездка,Ուղեւորություն,,A1.1-6,A1.1-6,1,Berliner Platz,German,6,,,,
die,Einladung,,noun,invitation,приглашение,հրավեր,,A1.1-6,A1.1-6,1,Berliner Platz,German,6,,,,
der,Fühling,no,noun,spring,весна,գարուն,,A1.1-6,A1.1-6,1,Berliner Platz,German,6,,,,
die,Geschwister,no,noun,Sibligns,братья и сестры,եղբայրներ ու քույրեր,,A1.1-6,A1.1-6,1,Berliner Platz,German,6,,,,
der,Herbst,no,noun,Authumn,осень,աշուն,,A1.1-6,A1.1-6,2,Berliner Platz,German,6,,,,
der,Jugendliche,no,noun,Youth,молодой,երիտասարդ,,A1.1-6,A1.1-6,2,Berliner Platz,German,6,,,,
die,Verwandte,no,noun,relatives,связанный с ним,համապատասխան,,A1.1-6,A1.1-6,2,Berliner Platz,German,6,,,,
der,Wohngemeinschaft,no,noun,commune,коммуна,համայնք,,A1.1-6,A1.1-6,2,Berliner Platz,German,6,,,,
der,Alleinstehende,,other,Single,уединенный,մեկուսի,,A1.1-6,A1.1-6,2,Berliner Platz,German,6,,,,
,aussehen,,verb,look like,посмотреть,նայել,,A1.1-6,A1.1-6,1,Berliner Platz,German,6,,,,
,erziehen,,verb,educate,воспитывать,դաստիարակել,,A1.1-6,A1.1-6,1,Berliner Platz,German,6,,,,
,feiern,,verb,celebrate,праздновать,տոնել,,A1.1-6,A1.1-6,1,Berliner Platz,German,6,,,,
,freuen,,verb,gladden,радовать,ուրախանալ,,A1.1-6,A1.1-6,2,Berliner Platz,German,6,,,,
,gratulieren,,verb,congratulate,поздравлять,շնորհավորել,,A1.1-6,A1.1-6,2,Berliner Platz,German,6,,,,
,reden,,verb,talk,разговор,խոսել,,A1.1-6,A1.1-6,2,Berliner Platz,German,6,,,,
,geschieden,,adjective,divorced,разведенный,բաժանված,,A1.1-6,A1.1-6,1,Berliner Platz,German,6,,,,
,schwer,,adjective,hard,трудно,դժվար,,A1.1-6,A1.1-6,1,Berliner Platz,German,6,,,,
,schade,,adjective,pity,жалость,խղճալ,,A1.1-6,A1.1-6,2,Berliner Platz,German,6,,,,
,Darüber,,adjective,above,выше,վեր,,A1.1-6,A1.1-6,2,Berliner Platz,German,6,,,,
,niemand,,other,nobody,никто,ոչ ոք,,A1.1-6,A1.1-6,1,Berliner Platz,German,6,,,,
,gestern,,other,yesterday,вчера,երեկ,,A1.1-6,A1.1-6,1,Berliner Platz,German,6,,,,
,oft,,other,often,часто,հաճախ,,A1.1-6,A1.1-6,1,Berliner Platz,German,6,,,,
,genau,,other,exactly,точно,ճիշտ,,A1.1-6,A1.1-6,1,Berliner Platz,German,6,,,,
,allerdings,,other,however,хотя,չնայած,,A1.1-6,A1.1-6,1,Berliner Platz,German,6,,,,
,außen,,other,outside,снаружи,դուրս,,A1.1-6,A1.1-6,2,Berliner Platz,German,6,,,,
,bis,,other,till,до,մինչեւ,,A1.1-6,A1.1-6,2,Berliner Platz,German,5,,,,
,aber,,other,but,но,բայց,,A1.1-6,A1.1-6,2,Berliner Platz,German,5,,,,
,auch,,other,also,также,նույնպես,,A1.1-6,A1.1-6,2,Berliner Platz,German,5,,,,
,zwischen,,other,between,между,միջեւ,,A1.1-6,A1.1-6,2,Berliner Platz,German,6,,,,
,bei,,other,at,в,ի,,A1.1-6,A1.1-6,2,Berliner Platz,German,6,,,,
die,Ampel,,noun,the traffic light,светофор,լուսացույցներ,,A1.2-7,A1.2-1,1,Berliner Platz,German,7,,,,
die,Anmeldung,no,noun,registration,регистрация,գրանցում,,A1.2-7,A1.2-1,1,Berliner Platz,German,7,,,,
die,Auskunft,no,noun,information,справка,տեղեկատվություն,,A1.2-7,A1.2-1,1,Berliner Platz,German,7,,,,
der,Ausweis,,noun,identity card,карта,քարտ,,A1.2-7,A1.2-1,1,Berliner Platz,German,7,,,,
die,Bahn,,noun,train,поезд,գնացք,,A1.2-7,A1.2-1,1,Berliner Platz,German,7,,,,
der,Bahnhof,,noun,railway station,станция,կայան,,A1.2-7,A1.2-1,1,Berliner Platz,German,7,,,,
der,Fahrplan,no,noun,timetable,расписание,ժամանակացույց,,A1.2-7,A1.2-1,1,Berliner Platz,German,7,,,,
das,Gehalt,no,noun,salary,зарплата,աշխատավարձ,,A1.2-7,A1.2-1,1,Berliner Platz,German,7,,,,
der,Geldautomat,,noun,bankomat,банкомат,բանկոմատ,,A1.2-7,A1.2-1,2,Berliner Platz,German,7,,,,
das,Girokonto,no,noun,checking account,расчетный счет,ստուգման հաշիվ,,A1.2-7,A1.2-1,2,Berliner Platz,German,7,,,,
der,Hauptbahnhof,no,noun,central train station,центральная станция,կենտրոնական կայարան,,A1.2-7,A1.2-1,2,Berliner Platz,German,7,,,,
die,Kantine,,noun,canteen,столовая,ճաշարան,,A1.2-7,A1.2-1,2,Berliner Platz,German,7,,,,
die,Kirche,,noun,church,церковь,Եկեղեցին,,A1.2-7,A1.2-1,2,Berliner Platz,German,7,,,,
die,Kreuzung,no,noun,crossing,пересечение,անցում,,A1.2-7,A1.2-1,2,Berliner Platz,German,7,,,,
die,Monatskarte,no,noun,monthly pass,месячный проездной билет,ամսական տոմս,,A1.2-7,A1.2-1,2,Berliner Platz,German,7,,,,
die,Nähe,,other,proximity,близость,սերտ,,A1.2-7,A1.2-1,3,Berliner Platz,German,7,,,,
der,Pass,,noun,passport,паспорт,անձնագիր,,A1.2-7,A1.2-1,3,Berliner Platz,German,7,,,,
das,Personalbüro,no,noun,personnel office,офисный персонал,աշխատակազմ,,A1.2-7,A1.2-1,3,Berliner Platz,German,7,,,,
der,Platz,no,noun,square,место,վայր,,A1.2-7,A1.2-1,3,Berliner Platz,German,7,,,,
die,Rechnung,no,noun,bill,счет,հաշիվ,,A1.2-7,A1.2-1,3,Berliner Platz,German,7,,,,
der,Stadtplan,,noun,map,карта,քարտեզ,,A1.2-7,A1.2-1,3,Berliner Platz,German,7,,,,
das,Stadtzentrum,no,noun,city center,центр города,քաղաքի կենտրոն,,A1.2-7,A1.2-1,3,Berliner Platz,German,7,,,,
die,Station,,noun,station,станция,կայան,,A1.2-7,A1.2-1,4,Berliner Platz,German,7,,,,
die,Straßenbahn,,noun,street train,трамвай,տրամվայ,,A1.2-7,A1.2-1,4,Berliner Platz,German,7,,,,
das,Taxi,,noun,taxi,такси,տաքսի,,A1.2-7,A1.2-1,4,Berliner Platz,German,7,,,,
das,Ticket,,noun,ticket,билет,տոմս,,A1.2-7,A1.2-1,4,Berliner Platz,German,7,,,,
die,U-Bahn,,noun,underground,метро,մետրո,,A1.2-7,A1.2-1,4,Berliner Platz,German,7,,,,
der,Verkehr,,noun,traffic,движение,երթեւեկություն,,A1.2-7,A1.2-1,4,Berliner Platz,German,7,,,,
der,Weg,,noun,way,дорога,ճանապարհ,,A1.2-7,A1.2-1,4,Berliner Platz,German,7,,,,
der,Zug,,noun,train,поезд,գնացք,,A1.2-7,A1.2-1,4,Berliner Platz,German,7,,,,
,ankommen,,verb,arrive,прибывать,ժամանել,,A1.2-7,A1.2-1,1,Berliner Platz,German,7,,,,
,anschauen,,verb,look at,смотреть на,նայում,,A1.2-7,A1.2-1,1,Berliner Platz,German,7,,,,
,aussteigen,,verb,get off,зажженный,վառած,,A1.2-7,A1.2-1,2,Berliner Platz,German,7,,,,
,besichtigen,,verb,visit,визит,այց,,A1.2-7,A1.2-1,2,Berliner Platz,German,7,,,,
,erleben,,verb,experience,опыт,փորձառություն,,A1.2-7,A1.2-1,3,Berliner Platz,German,7,,,,
,finden,,verb,find,найти,գտնել,,A1.2-7,A1.2-1,3,Berliner Platz,German,7,,,,
,halten,,verb,hold,держать,պահել,,A1.2-7,A1.2-1,4,Berliner Platz,German,7,,,,
,umsteigen,,verb,change,изменение,փոփոխություն,,A1.2-7,A1.2-1,4,Berliner Platz,German,7,,,,
,bekannt,,adjective,known,известный,հայտնի,,A1.2-7,A1.2-1,1,Berliner Platz,German,7,,,,
,bequem,,adjective,comfortable ,удобный,հարմարավետ,,A1.2-7,A1.2-1,1,Berliner Platz,German,7,,,,
,berühmt,,adjective,famous,известный,հայտնի,,A1.2-7,A1.2-1,2,Berliner Platz,German,7,,,,
,fremd,,adjective,foreign,иностранные,արտաքին,,A1.2-7,A1.2-1,2,Berliner Platz,German,7,,,,
,interessant,,adjective,interesting,интересный,հետաքրքիր,,A1.2-7,A1.2-1,3,Berliner Platz,German,7,,,,
,weit,,adjective,far,далеко,հեռու,,A1.2-7,A1.2-1,3,Berliner Platz,German,7,,,,
,dort,,adjective,there,там,այնտեղ,,A1.2-7,A1.2-1,4,Berliner Platz,German,7,,,,
,gegenüber,,other,oppsite,напротив,հանդեպ,,A1.2-7,A1.2-1,1,Berliner Platz,German,7,,,,
,geradeaus,,other,streight,прямой,ուղիղ,,A1.2-7,A1.2-1,1,Berliner Platz,German,7,,,,
,mehrere,,other,several,несколько,մի քանի,,A1.2-7,A1.2-1,2,Berliner Platz,German,7,,,,
,ungefähr,,other,approximately ,о,մոտ,,A1.2-7,A1.2-1,3,Berliner Platz,German,7,,,,
,wohin,,other,where,куда,որտեղ,,A1.2-7,A1.2-1,4,Berliner Platz,German,7,,,,
die,Badewanne,,noun,bathtub,ванна,լոգարան,,A1.2-8,A1.2-2,1,Berliner Platz,German,8,,,,
der,Balkon,,noun,balcony,балкон,պատշգամբ,,A1.2-8,A1.2-2,1,Berliner Platz,German,8,,,,
die,Dusche,,noun,shower,душ,ցնցուղ,,A1.2-8,A1.2-2,1,Berliner Platz,German,8,,,,
die,Garage,no,noun,parking,гараж,ավտոտնակ,,A1.2-8,A1.2-2,1,Berliner Platz,German,8,,,,
der,Garten,,noun,garden,сад,այգի,,A1.2-8,A1.2-2,1,Berliner Platz,German,8,,,,
der,Hausmeister,no,noun,caretaker,смотритель,խնամատար,,A1.2-8,A1.2-2,1,Berliner Platz,German,8,,,,
der,Hof,,noun,court,Суд,դատարան,,A1.2-8,A1.2-2,1,Berliner Platz,German,8,,,,
die,Kaution,no,noun,bail/deposit,депозит,ավանդ,,A1.2-8,A1.2-2,2,Berliner Platz,German,8,,,,
der,Keller,,noun,basement,подвал,նկուղ,,A1.2-8,A1.2-2,2,Berliner Platz,German,8,,,,
die,Küche,,noun,kitchen,кухня,խոհանոց,,A1.2-8,A1.2-2,2,Berliner Platz,German,8,,,,
der,Lärm,no,noun,noise,шум,աղմուկ,,A1.2-8,A1.2-2,2,Berliner Platz,German,8,,,,
die,Miete,no,noun,rent,аренда,վարձակալություն,,A1.2-8,A1.2-2,2,Berliner Platz,German,8,,,,
die,Möbel,,noun,furniture,мебель,կահույք,,A1.2-8,A1.2-2,2,Berliner Platz,German,8,,,,
der,Mülltonne,,noun,garbage,мусор,աղբ,,A1.2-8,A1.2-2,2,Berliner Platz,German,8,,,,
die,Mülltonne,,noun,dustbin,мусорной корзине,աղբարկղ,,A1.2-8,A1.2-2,3,Berliner Platz,German,8,,,,
die,Nebenkosten,no,noun,additional costs,побочные расходы,լրացուցիչ ծախսեր,,A1.2-8,A1.2-2,3,Berliner Platz,German,8,,,,
der,Parkplatz,,noun,parking place,парковка,ավտոկայանատեղի,,A1.2-8,A1.2-2,3,Berliner Platz,German,8,,,,
die,Ruhe,,other,quite,Покой,խաղաղ,,A1.2-8,A1.2-2,3,Berliner Platz,German,8,,,,
der,Schlüssel,,noun,key,ключ,բանալի,,A1.2-8,A1.2-2,3,Berliner Platz,German,8,,,,
der,Spielplatz,,noun,playground,детская площадка,խաղահրապարակ,,A1.2-8,A1.2-2,3,Berliner Platz,German,8,,,,
der,Storm,no,noun,Storm,буря,փոթորիկ,,A1.2-8,A1.2-2,4,Berliner Platz,German,8,,,,
die,Toilette,,noun,toilet,туалет,զուգարան,,A1.2-8,A1.2-2,4,Berliner Platz,German,8,,,,
die,Treppe,,noun,stairs,лестница,աստիճաններ,,A1.2-8,A1.2-2,4,Berliner Platz,German,8,,,,
das,Wohnzimmer,,noun,living room,гостинная,հյուրասենյակ,,A1.2-8,A1.2-2,4,Berliner Platz,German,8,,,,
,ausziehen,,verb,take off,раздевать,հանվել,,A1.2-8,A1.2-2,1,Berliner Platz,German,8,,,,
,beachten,,verb,note,примечание,նշում,,A1.2-8,A1.2-2,1,Berliner Platz,German,8,,,,
,Benutzung,,verb,usage,использование,օգտագործում,,A1.2-8,A1.2-2,1,Berliner Platz,German,8,,,,
,bezahlen,,verb,pay,платить,վճարել,,A1.2-8,A1.2-2,1,Berliner Platz,German,8,,,,
,einziehen,,verb,collect,изымать,հեռանալ,,A1.2-8,A1.2-2,2,Berliner Platz,German,8,,,,
,feiern,,verb,celebrate,праздновать,տոնել,,A1.2-8,A1.2-2,2,Berliner Platz,German,8,,,,
,informieren,,verb,inform,информировать,տեղեկացնել,,A1.2-8,A1.2-2,2,Berliner Platz,German,8,,,,
,mieten,,verb,rent,аренда,վարձավճար,,A1.2-8,A1.2-2,2,Berliner Platz,German,8,,,,
,packen,,verb,pack,пакет,փաթեթ,,A1.2-8,A1.2-2,2,Berliner Platz,German,8,,,,
,parken,,verb,park,парк,զբոսայգի,,A1.2-8,A1.2-2,3,Berliner Platz,German,8,,,,
,reinigen,,verb,clean,чистый,մաքուր,,A1.2-8,A1.2-2,3,Berliner Platz,German,8,,,,
,sorgen,,verb,provide,обеспечивать,ապահովել,,A1.2-8,A1.2-2,3,Berliner Platz,German,8,,,,
,tragen,,verb,bear,носить,հագնել,,A1.2-8,A1.2-2,3,Berliner Platz,German,8,,,,
